,ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,lot_config,neighborhood,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,foundation,bsmt_qual,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmt_unf_sf,total_bsmt_sf,heating_qc,2nd_flr_sf,gr_liv_area,bsmt_full_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,fireplaces,fireplace_qu,garage_type,garage_finish,garage_area,wood_deck_sf,open_porch_sf,mo_sold,yr_sold,saleprice
65,20,3,70.0,8402,4,5,11,1,5,5,2007,2007,5,3,3,2.0,0.0,3,4,4.0,1.0,5.0,206.0,914.0,1120.0,5,0,1120,0.0,1,0,3,3,0,0.0,0.0,0.0,0.0,0,30,12,2007,147000
66,70,3,63.0,4000,4,5,13,2,7,8,1930,1995,5,2,2,2.0,0.0,3,6,4.0,1.0,6.0,246.0,285.0,531.0,3,531,1098,1.0,1,0,2,3,1,4.0,1.0,1.0,216.0,0,0,6,2007,148500
67,160,1,32.0,3363,4,5,4,2,7,5,2004,2004,5,3,3,1.0,117.0,4,4,4.0,1.0,1.0,0.0,976.0,976.0,5,732,1708,0.0,2,0,3,4,0,0.0,1.0,1.0,380.0,0,40,4,2006,130000
68,20,3,94.0,13615,3,4,6,1,9,5,2006,2006,3,9,9,1.0,510.0,5,4,5.0,4.0,1.0,0.0,1802.0,1802.0,5,0,1802,0.0,2,1,3,5,1,4.0,5.0,3.0,843.0,158,105,6,2007,372000
69,120,3,43.0,3013,4,5,21,1,7,5,2005,2005,5,3,3,4.0,145.0,4,4,4.0,4.0,6.0,16.0,1346.0,1362.0,5,0,1506,0.0,2,0,2,4,1,4.0,5.0,3.0,440.0,142,20,4,2006,213490
70,20,3,44.0,17485,2,5,4,1,7,5,2009,2010,5,3,3,1.0,96.0,4,4,4.0,4.0,6.0,1346.0,162.0,1508.0,5,0,1508,1.0,1,0,1,4,2,3.0,5.0,2.0,572.0,0,0,1,2010,308030
71,20,3,0.0,23730,2,5,11,1,7,5,1996,1997,5,9,9,4.0,668.0,4,4,5.0,2.0,6.0,700.0,1140.0,1840.0,5,0,2032,1.0,3,0,3,4,0,0.0,5.0,3.0,786.0,0,46,9,2008,300000
72,20,3,79.0,8910,4,4,1,1,6,6,1959,1959,3,14,14,2.0,0.0,3,5,3.0,2.0,5.0,655.0,0.0,655.0,5,0,1194,0.0,1,0,3,3,1,2.0,3.0,3.0,539.0,0,0,7,2006,159500
73,160,1,24.0,2522,4,5,4,2,7,5,2004,2004,5,3,3,1.0,50.0,4,4,4.0,1.0,1.0,0.0,970.0,970.0,5,739,1709,0.0,2,0,3,4,0,0.0,1.0,1.0,380.0,0,40,4,2006,137500
74,20,3,73.0,8688,4,5,5,1,7,5,2005,2005,5,3,3,4.0,228.0,4,4,4.0,3.0,1.0,0.0,1616.0,1616.0,5,0,1616,0.0,2,0,3,4,0,0.0,5.0,2.0,834.0,208,59,4,2006,232000
75,30,1,0.0,6291,3,5,14,1,6,6,1930,1950,5,4,1,2.0,0.0,4,6,3.0,1.0,1.0,0.0,768.0,768.0,3,0,768,0.0,1,0,1,3,0,0.0,1.0,1.0,440.0,0,0,7,2008,93850
76,30,3,0.0,17529,4,5,8,1,5,5,1924,1950,5,14,2,1.0,65.0,3,6,3.0,1.0,1.0,0.0,872.0,872.0,2,0,872,0.0,1,0,2,2,1,4.0,1.0,1.0,322.0,0,0,4,2006,105000
77,30,1,60.0,6324,3,5,12,1,4,6,1927,1950,5,9,9,2.0,0.0,3,6,3.0,1.0,1.0,0.0,520.0,520.0,2,0,520,0.0,1,0,1,2,0,0.0,1.0,1.0,240.0,49,0,5,2008,68500
78,90,3,80.0,11600,4,4,1,2,5,5,1960,1960,5,9,9,4.0,361.0,3,5,3.0,1.0,3.0,443.0,662.0,1105.0,3,1169,2274,0.0,2,0,5,3,0,0.0,1.0,1.0,480.0,0,0,1,2010,154300
79,50,1,50.0,7288,4,5,14,3,5,7,1925,2003,5,3,3,2.0,0.0,4,6,3.0,1.0,1.0,0.0,936.0,936.0,5,665,1601,0.0,2,0,3,3,0,0.0,0.0,0.0,0.0,0,0,9,2007,129850
80,70,1,35.0,4571,4,5,3,2,5,7,1910,1950,5,9,9,2.0,0.0,3,6,3.0,1.0,4.0,168.0,448.0,616.0,5,616,1232,0.0,1,0,3,3,0,0.0,1.0,1.0,480.0,280,0,6,2007,114000
81,20,3,63.0,17423,3,3,17,1,9,5,2008,2009,3,3,3,1.0,748.0,5,4,5.0,1.0,6.0,1904.0,312.0,2216.0,5,0,2234,1.0,2,0,1,5,1,4.0,5.0,3.0,1166.0,0,60,7,2009,501837
82,50,1,100.0,12665,3,5,3,3,5,8,1915,1950,5,2,2,2.0,0.0,3,6,3.0,2.0,1.0,0.0,876.0,876.0,4,540,1416,0.0,1,1,4,3,1,4.0,1.0,1.0,720.0,418,0,6,2008,153900
83,20,3,60.0,9000,4,2,1,1,4,7,1971,2006,5,3,3,2.0,0.0,3,5,3.0,1.0,5.0,240.0,624.0,864.0,4,0,864,0.0,1,0,3,3,0,0.0,1.0,1.0,576.0,200,0,7,2009,130000
84,120,1,32.0,4500,4,2,11,1,6,5,1997,1997,3,3,3,4.0,197.0,3,4,5.0,1.0,6.0,864.0,325.0,1189.0,5,0,1189,1.0,2,0,2,3,0,0.0,5.0,2.0,392.0,0,122,4,2008,160500
85,120,3,48.0,6373,4,5,6,1,9,5,2006,2006,3,9,9,4.0,572.0,5,4,5.0,1.0,6.0,415.0,1251.0,1666.0,5,0,1666,1.0,2,0,2,4,1,4.0,5.0,2.0,575.0,228,75,6,2006,310090
86,20,3,67.0,10083,4,5,10,1,7,5,2003,2003,5,3,3,0.0,0.0,4,4,4.0,1.0,6.0,833.0,343.0,1176.0,5,0,1200,1.0,2,0,2,4,0,0.0,5.0,2.0,555.0,0,41,8,2009,184900
87,20,3,70.0,13300,4,5,1,1,5,7,1956,2000,3,2,2,2.0,0.0,3,5,4.0,1.0,3.0,377.0,551.0,928.0,3,0,928,0.0,1,0,2,3,0,0.0,5.0,1.0,252.0,261,0,6,2007,132000
88,20,3,80.0,9600,4,5,9,1,5,5,1969,1969,5,11,11,4.0,128.0,3,5,4.0,2.0,5.0,553.0,588.0,1288.0,3,0,1336,0.0,2,0,3,3,1,2.0,5.0,2.0,502.0,312,11,8,2009,163000
89,160,6,30.0,3215,4,5,5,2,7,5,2004,2004,5,9,9,4.0,120.0,4,4,4.0,3.0,6.0,280.0,320.0,600.0,5,600,1200,0.0,2,1,2,4,0,0.0,1.0,2.0,480.0,0,172,4,2010,155000
90,80,3,0.0,11104,3,5,9,4,6,6,1969,1969,5,9,9,2.0,0.0,3,5,3.0,3.0,6.0,828.0,599.0,1427.0,4,0,1427,0.0,2,0,4,3,0,0.0,5.0,2.0,516.0,0,0,5,2008,183000
91,60,3,0.0,15295,1,4,2,2,7,5,1996,2002,5,3,3,4.0,254.0,4,4,4.0,2.0,6.0,762.0,98.0,860.0,5,780,1992,1.0,2,1,3,4,2,3.0,5.0,2.0,608.0,225,32,6,2007,211000
92,60,3,70.0,9109,4,5,10,2,7,5,1994,1994,5,3,3,2.0,0.0,4,4,4.0,1.0,2.0,36.0,122.0,754.0,5,786,1540,1.0,2,1,3,4,0,0.0,5.0,2.0,495.0,140,32,10,2009,184000
93,90,3,64.0,7018,4,5,10,1,5,5,1979,1979,5,11,11,2.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1535,0.0,2,0,4,3,0,0.0,5.0,1.0,400.0,0,0,6,2009,118858
94,80,3,0.0,14112,3,4,1,4,5,7,1964,1964,3,2,11,4.0,86.0,3,4,3.0,3.0,6.0,1014.0,138.0,1152.0,3,0,1152,1.0,1,0,3,3,1,4.0,5.0,2.0,484.0,227,0,4,2010,180500
95,120,6,80.0,3523,3,5,5,1,8,5,2006,2007,5,3,3,1.0,30.0,4,4,4.0,1.0,6.0,60.0,1081.0,1141.0,5,0,1151,1.0,2,0,2,4,0,0.0,5.0,3.0,484.0,0,60,2,2007,166000
96,80,3,88.0,15312,4,5,8,4,6,5,1960,1960,3,2,2,4.0,54.0,3,5,3.0,3.0,4.0,588.0,550.0,1138.0,5,0,1138,0.0,1,0,3,3,1,3.0,5.0,2.0,480.0,0,0,3,2009,148000
97,20,3,74.0,7450,3,5,1,1,5,5,1956,1956,3,2,2,2.0,0.0,3,5,3.0,1.0,3.0,438.0,250.0,894.0,4,0,1074,0.0,1,0,2,4,1,4.0,1.0,1.0,396.0,0,72,1,2007,124000
98,120,3,60.0,7313,4,5,6,1,9,5,2005,2005,3,9,9,4.0,246.0,5,4,5.0,1.0,6.0,1153.0,408.0,1561.0,5,0,1561,1.0,2,0,2,5,1,4.0,5.0,3.0,556.0,203,47,8,2007,277500
99,60,3,83.0,10019,3,5,15,2,8,5,1995,1995,3,3,3,4.0,397.0,4,4,4.0,1.0,5.0,527.0,815.0,1342.0,5,1368,2726,0.0,2,1,4,4,1,5.0,5.0,2.0,725.0,307,169,6,2006,350000
100,20,3,53.0,15401,3,3,17,1,9,5,2004,2004,3,3,3,4.0,296.0,5,4,5.0,4.0,6.0,1337.0,547.0,1884.0,5,0,1884,1.0,2,0,2,5,1,4.0,5.0,3.0,670.0,214,76,9,2008,387000
101,30,3,58.0,9098,3,5,4,1,4,7,1920,2002,5,2,2,2.0,0.0,3,6,3.0,2.0,5.0,348.0,180.0,528.0,5,0,605,1.0,1,0,2,3,0,0.0,0.0,0.0,0.0,0,0,7,2007,86000
102,20,3,103.0,16280,4,5,23,1,8,9,1976,2007,5,3,3,2.0,0.0,5,5,4.0,2.0,6.0,1044.0,0.0,1426.0,5,0,1671,1.0,3,0,3,5,1,4.0,5.0,2.0,550.0,280,90,5,2008,290000
103,30,7,72.0,9392,4,4,14,1,3,3,1900,1950,2,17,17,2.0,0.0,3,5,2.0,1.0,1.0,0.0,245.0,245.0,3,0,797,0.0,1,0,2,3,0,0.0,0.0,0.0,0.0,0,36,9,2009,44000
104,60,3,71.0,12209,3,3,11,2,6,5,2001,2002,5,3,3,2.0,0.0,3,4,5.0,1.0,5.0,690.0,114.0,804.0,5,1157,1961,1.0,2,1,3,4,1,3.0,3.0,3.0,560.0,125,192,6,2009,215000
105,190,3,79.0,13110,3,4,9,1,5,6,1972,1972,5,7,7,4.0,144.0,3,5,4.0,1.0,6.0,962.0,191.0,1153.0,5,0,1193,1.0,2,0,2,3,0,0.0,5.0,3.0,501.0,140,153,7,2006,146500
106,160,6,0.0,2651,4,2,5,2,7,5,2000,2000,5,9,9,2.0,0.0,4,4,4.0,1.0,6.0,641.0,32.0,673.0,5,709,1382,1.0,2,1,3,4,0,0.0,1.0,1.0,490.0,153,50,4,2006,165000
107,50,1,60.0,8520,4,5,3,3,6,7,1916,1950,5,4,4,2.0,0.0,3,6,3.0,1.0,3.0,168.0,0.0,714.0,3,862,2526,0.0,2,0,5,4,1,4.0,1.0,1.0,216.0,88,15,8,2007,136000
108,20,3,0.0,39384,3,3,1,1,6,6,1957,1957,5,2,2,1.0,902.0,3,5,4.0,4.0,5.0,1110.0,595.0,1705.0,5,0,1390,1.0,1,1,1,5,2,4.0,5.0,1.0,550.0,0,189,10,2006,252000
